X_COORD,Y_COORD,NOM,DEPARTEMEN,PCODE1,PCODE2,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE3,REGION,CHEF__LIEU
268157.00000000000,900492.00000000000,Katiola,KATIOLA,CIV04,CIV0401,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040103,HAMBOL,KATIOLA
343571.00000000000,924503.00000000000,Dabakala,DABAKALA,CIV04,CIV0401,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040102,HAMBOL,KATIOLA
148239.00000000000,893492.00000000000,Mankono,MANKONO,CIV05,CIV0501,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050101,BERE,MANKONO
103120.00000000000,940274.00000000000,Kani,KANI,CIV05,CIV0503,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050301,WORODOUGOU,SEGUELA
95856.80000000000,882094.00000000000,Seguela,SEGUELA,CIV05,CIV0503,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050302,WORODOUGOU,SEGUELA
522349.00000000000,889199.00000000000,Bondoukou,BONDOUKOU,CIV03,CIV0302,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030201,GONTOUGO,BONDOUKOU
435462.00000000000,879117.00000000000,Sandegue,SANDEGUE,CIV03,CIV0302,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030202,GONTOUGO,BONDOUKOU
462884.00000000000,1084090.00000000000,Doropo,DOROPO,CIV03,CIV0301,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030102,BOUNKANI,BOUNA
427656.00000000000,1061760.00000000000,Tehini,TEHINI,CIV03,CIV0301,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030101,BOUNKANI,BOUNA
447677.00000000000,934098.00000000000,Nassian,NASSIAN,CIV03,CIV0301,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030104,BOUNKANI,BOUNA
472341.00000000000,827341.00000000000,Koun Fao,KOUN-FAO,CIV03,CIV0302,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030205,GONTOUGO,BONDOUKOU
481486.00000000000,862014.00000000000,Tanda,TANDA,CIV03,CIV0302,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030203,GONTOUGO,BONDOUKOU
498586.00000000000,834939.00000000000,Transua,TRANSUA,CIV03,CIV0302,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030204,GONTOUGO,BONDOUKOU
427539.00000000000,683425.00000000000,Yakasse attobrou,YAKASSE-ATTOBROU,CIV13,CIV1301,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130103,ME,ADZOPE
187282.00000000000,862520.00000000000,Kounahiri,KOUNAHIRI,CIV05,CIV0501,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050102,BERE,MANKONO
159608.00000000000,629781.00000000000,Guéyo,GUEYO,CIV12,CIV1201,COTE D'VOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV120102,NAWA,SOUBRE
265935.00000000000,749573.00000000000,Attiegouakro,ATTIEGOUAKRO,CIV10,CIV1001,COTE D'VOIRE,CNTIG,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,2008,OCHA-CI,2012,OCHA-CI,CIV100101,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO
4341.97000000000,1089420.00000000000,Kaniasso,KANIASSO,CIV02,CIV0201,COTE D'VOIRE,CNTIG,DENGUELE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV020102,FOLON,MINIGNAN
258597.00000000000,1061810.00000000000,Ferkessédougou,FERKESSEDOUGOU,CIV01,CIV0103,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010302,TCHOLOGO,FERKESSEDOUGOU
402030.00000000000,705497.00000000000,Akoupe,AKOUPE,CIV13,CIV1301,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130101,ME,ADZOPE
393716.00000000000,779919.00000000000,Daoukro,DAOUKRO,CIV07,CIV0701,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070103,IFFOU,DAOUKRO
391364.00000000000,846456.00000000000,Prikro,PRIKRO,CIV07,CIV0701,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070101,IFFOU,DAOUKRO
216041.00000000000,850381.00000000000,Béoumi,BEOUMI,CIV04,CIV0402,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040202,GBEKE,BOUAKE
247091.00000000000,824918.00000000000,Sakassou,SAKASSOU,CIV04,CIV0402,COTE D'VOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV040204,GBEKE,BOUAKE
500011.00000000000,1024880.00000000000,Bouna,BOUNA,CIV03,CIV0301,COTE D'VOIRE,CNTIG,ZANZAN,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV030103,BOUNKANI,BOUNA
419208.00000000000,577164.00000000000,Grand-Bassam,GRAND-BASSAM,CIV09,CIV0902,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090202,SUD-COMOE,ABOISSO
