CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,HRname,HRpcode,HRparent
Nigeria,NGA,Enugu,NGA014,Uzo-Uwani,NGA014017,Uzo-Uwani,NG014017,NG014
Nigeria,NGA,Federal Capital Territory,NGA015,Abaji,NGA015001,Abaji,NG015001,NG015
Nigeria,NGA,Federal Capital Territory,NGA015,Bwari,NGA015003,Bwari,NG015003,NG015
Nigeria,NGA,Federal Capital Territory,NGA015,Gwagwalada,NGA015004,Gwagwalada,NG015004,NG015
Nigeria,NGA,Federal Capital Territory,NGA015,Kuje,NGA015005,Kuje,NG015005,NG015
Nigeria,NGA,Federal Capital Territory,NGA015,Kwali,NGA015006,Kwali,NG015006,NG015
Nigeria,NGA,Federal Capital Territory,NGA015,Abuja Municipal,NGA015002,Abuja Municipal,NG015002,NG015
Nigeria,NGA,Gombe,NGA016,Akko,NGA016001,Akko,NG016001,NG016
Nigeria,NGA,Gombe,NGA016,Balanga,NGA016002,Balanga,NG016002,NG016
Nigeria,NGA,Gombe,NGA016,Billiri,NGA016003,Billiri,NG016003,NG016
Nigeria,NGA,Gombe,NGA016,Dukku,NGA016004,Dukku,NG016004,NG016
Nigeria,NGA,Gombe,NGA016,Funakaye,NGA016005,Funakaye,NG016005,NG016
Nigeria,NGA,Gombe,NGA016,Gombe,NGA016006,Gombe,NG016006,NG016
Nigeria,NGA,Gombe,NGA016,Kaltungo,NGA016007,Kaltungo,NG016007,NG016
Nigeria,NGA,Gombe,NGA016,Kwami,NGA016008,Kwami,NG016008,NG016
Nigeria,NGA,Gombe,NGA016,Nafada,NGA016009,Nafada,NG016009,NG016
Nigeria,NGA,Gombe,NGA016,Shomgom,NGA016010,Shomgom,NG016010,NG016
Nigeria,NGA,Gombe,NGA016,Yamaltu/Deba,NGA016011,Yamaltu/Deba,NG016011,NG016
Nigeria,NGA,Imo,NGA017,Aboh-Mbaise,NGA017001,Aboh-Mbaise,NG017001,NG017
Nigeria,NGA,Imo,NGA017,Ahiazu-Mbaise,NGA017002,Ahiazu-Mbaise,NG017002,NG017
Nigeria,NGA,Imo,NGA017,Ehime-Mbano,NGA017003,Ehime-Mbano,NG017003,NG017
Nigeria,NGA,Imo,NGA017,Ezinihitte,NGA017004,Ezinihitte,NG017004,NG017
Nigeria,NGA,Imo,NGA017,Ideato North,NGA017005,Ideato North,NG017005,NG017
Nigeria,NGA,Imo,NGA017,Ideato South,NGA017006,Ideato South,NG017006,NG017
Nigeria,NGA,Imo,NGA017,Ihitte/Uboma,NGA017007,Ihitte/Uboma,NG017007,NG017
Nigeria,NGA,Imo,NGA017,Ikeduru,NGA017008,Ikeduru,NG017008,NG017
Nigeria,NGA,Imo,NGA017,Isiala Mbano,NGA017009,Isiala Mbano,NG017009,NG017
Nigeria,NGA,Imo,NGA017,Isu,NGA017010,Isu,NG017010,NG017
Nigeria,NGA,Imo,NGA017,Mbaitoli,NGA017011,Mbaitoli,NG017011,NG017
Nigeria,NGA,Imo,NGA017,Ngor-Okpala,NGA017012,Ngor-Okpala,NG017012,NG017
Nigeria,NGA,Imo,NGA017,Njaba,NGA017013,Njaba,NG017013,NG017
Nigeria,NGA,Imo,NGA017,Nkwerre,NGA017014,Nkwerre,NG017014,NG017
Nigeria,NGA,Imo,NGA017,Nwangele,NGA017015,Nwangele,NG017015,NG017
Nigeria,NGA,Imo,NGA017,Obowo,NGA017016,Obowo,NG017016,NG017
Nigeria,NGA,Imo,NGA017,Oguta,NGA017017,Oguta,NG017017,NG017
Nigeria,NGA,Imo,NGA017,Ohaji/Egbema,NGA017018,Ohaji/Egbema,NG017018,NG017
Nigeria,NGA,Imo,NGA017,Okigwe,NGA017019,Okigwe,NG017019,NG017
Nigeria,NGA,Imo,NGA017,Orlu,NGA017020,Orlu,NG017020,NG017
Nigeria,NGA,Imo,NGA017,Orsu,NGA017021,Orsu,NG017021,NG017
Nigeria,NGA,Imo,NGA017,Oru East,NGA017022,Oru East,NG017022,NG017
Nigeria,NGA,Imo,NGA017,Oru West,NGA017023,Oru West,NG017023,NG017
Nigeria,NGA,Imo,NGA017,Owerri-Municipal,NGA017026,Owerri-Municipal,NG017026,NG017
Nigeria,NGA,Imo,NGA017,Owerri North,NGA017024,Owerri North,NG017024,NG017
Nigeria,NGA,Imo,NGA017,Owerri West,NGA017025,Owerri West,NG017025,NG017
Nigeria,NGA,Imo,NGA017,Unuimo,NGA017027,Unuimo,NG017027,NG017
Nigeria,NGA,Jigawa,NGA018,Auyo,NGA018001,Auyo,NG018001,NG018
