"name","pcode","parent","admlevel"
"Podiagouiní©","CIV06010209","CIV060102",4
"N'Guessankro","CIV04020201","CIV040202",4
"Mahandiana Sokourani","CIV02010201","CIV020102",4
"Aboisso-Comoí©","CIV13010402","CIV130104",4
"Blapleu","CIV06010108","CIV060101",4
"Banneu","CIV06010401","CIV060104",4
"Kouadioblí©kro","CIV07030104","CIV070301",4
"Dairo Didizo","CIV11020301","CIV110203",4
"Goudouko","CIV11020106","CIV110201",4
"Laoudi-Ba","CIV03020102","CIV030201",4
"Koutouba","CIV03010401","CIV030104",4
"Olodio","CIV12020103","CIV120201",4
"Dibokí©","CIV06030105","CIV060301",4
"Adjouan","CIV09020108","CIV090201",4
"Guessabo","CIV08010304","CIV080103",4
"Domangbeu","CIV08010301","CIV080103",4
"Morokro","CIV13020102","CIV130201",4
"N'Douci","CIV13020105","CIV130201",4
"Gouiní©","CIV06010101","CIV060101",4
"Bongo","CIV09020201","CIV090202",4
"TchíÂdio","CIV03020302","CIV030203",4
"Bouandougou","CIV05010105","CIV050101",4
"Pacobo","CIV13020103","CIV130201",4
"Nizahon","CIV06030204","CIV060302",4
"Yakpabo Sakassou","CIV07020204","CIV070202",4
"Yakassí©-Mí©","CIV13010206","CIV130102",4
"Blí©nimí©ouin","CIV06020203","CIV060202",4
"Bakoubly","CIV06030305","CIV060303",4
"Boron","CIV01020303","CIV010203",4
"Boahia","CIV03020502","CIV030205",4
"Adaou","CIV09020107","CIV090201",4
"Samango","CIV02020301","CIV020203",4
"Annepí©","CIV13010204","CIV130102",4
"Bogouiní©","CIV06010207","CIV060102",4
"Attoutou A","CIV13030301","CIV130303",4
"Kahin-Zarabaon","CIV06020209","CIV060202",4
"Kpata","CIV06010105","CIV060101",4
"Zonneu","CIV06010306","CIV060103",4
"Ouyably-Yondrou","CIV06020104","CIV060201",4
"Sandougou-Soba","CIV06010201","CIV060102",4
"Gbangbegouiní©-Yati","CIV06010204","CIV060102",4
"Famienkro","CIV07010101","CIV070101",4
"Nafana","CIV07010104","CIV070101",4
"Togonií©rí©","CIV01030202","CIV010302",4
"Toumoukoro","CIV01030101","CIV010301",4
"Mamini","CIV04020302","CIV040203",4
"Grí©gbeu","CIV08010303","CIV080103",4
"Krí©gbí©","CIV07030401","CIV070304",4
"Blessí©guí©","CIV01010201","CIV010102",4
"Iboguhí©","CIV08010402","CIV080104",4
"Fagnampleu","CIV06010206","CIV060102",4
"Boli","CIV07020103","CIV070201",4
"Kaniasso","CIV02010203","CIV020102",4
"FERKESSEDOUGOU","CIV01030201","CIV010302",4
"Akoupe","CIV13010102","CIV130101",4
"N'Goloblasso","CIV02020202","CIV020202",4
"Gbongaha","CIV02020205","CIV020202",4
"Namaní©","CIV08010405","CIV080104",4
"Tapí©guia","CIV08010406","CIV080104",4
"Daoukro","CIV07010306","CIV070103",4
"Ananda","CIV07010303","CIV070103",4
"Prikro","CIV07010102","CIV070101",4
"Aboudí©","CIV13020206","CIV130202",4
"Ananguií©","CIV13020204","CIV130202",4
"Attobrou","CIV13020203","CIV130202",4
"Niokosso","CIV05020104","CIV050201",4
"GbíÂlo","CIV05020305","CIV050203",4
"Gouí©kan","CIV05020306","CIV050203",4
"Saboudougou","CIV05020301","CIV050203",4
"Santa","CIV05020304","CIV050203",4
"Dioman","CIV05020203","CIV050202",4
"Grihiri","CIV12030102","CIV120301",4
"Lobakuya","CIV12030103","CIV120301",4
"Medon","CIV12030105","CIV120301",4
"Dapí©oua","CIV12010102","CIV120101",4
"Gnanmangui","CIV12010106","CIV120101",4
"Dapo-Ibokí©","CIV12020104","CIV120201",4
"Djamandiokí©","CIV12020105","CIV120201",4
"Fengolo","CIV02020201","CIV020202",4
"Kimbirila-Nord","CIV02010101","CIV020101",4
"Dahií©pa-Kí©hi","CIV11010212","CIV110102",4
"Dougroupalí©gnoa","CIV11010210","CIV110102",4
"Doukouyo","CIV11010212","CIV110102",4
"Yopohue","CIV11010202","CIV110102",4
"Dananon","CIV08010103","CIV080101",4
"Allosso","CIV13010404","CIV130104",4
"Toukouzou","CIV13030105","CIV130301",4
"Tibí©ita","CIV08020201","CIV080202",4
"Bí©gbí©ssou","CIV08020204","CIV080202",4
"N'Douffoukankro","CIV08020205","CIV080202",4
"Zanzra","CIV08020104","CIV080201",4
"Irií©fla","CIV08020101","CIV080201",4
"Maminigui","CIV08020106","CIV080201",4
"Bí©ouí©-Zibiao","CIV06020201","CIV060202",4
"Gbon-Houyí©","CIV06010303","CIV060103",4
"Seileu","CIV06010307","CIV060103",4
"Guí©zon","CIV06020103","CIV060201",4
"Koua","CIV06020102","CIV060201",4
"Tií©ny-Sí©ably","CIV06020106","CIV060201",4
"Ziogouiní©","CIV06010208","CIV060102",4
"Zagouí©","CIV06010205","CIV060102",4
"Goulaleu","CIV06010406","CIV060104",4
"Kaadí©","CIV06030202","CIV060302",4
"Mí©o","CIV06030306","CIV060303",4
"Ní©zobly","CIV06030303","CIV060303",4
"Assií©-Koumassi","CIV07030302","CIV070303",4
"Kotobi","CIV07030403","CIV070304",4
"Akpassanou","CIV07010302","CIV070103",4
"N'Gattakro","CIV07010307","CIV070103",4
"Samanza","CIV07010301","CIV070103",4
"Abigui","CIV07030202","CIV070302",4
"Diangokro","CIV07030203","CIV070302",4
"Kondossou","CIV07010202","CIV070102",4
"Assahara","CIV07030501","CIV070305",4
"Anianou","CIV07010103","CIV070101",4
"Baya","CIV01010301","CIV010103",4
"Bilimono","CIV01030206","CIV010302",4
"Sikolo","CIV01030204","CIV010302",4
"Bougou","CIV01020101","CIV010201",4
"Dassoungboho","CIV01020111","CIV010201",4
"Katiali","CIV01020104","CIV010201",4
"Katogo","CIV01020102","CIV010201",4
"Kií©mou","CIV01020117","CIV010201",4
"Kombolokoura","CIV01020113","CIV010201",4
"Nafoun","CIV01020114","CIV010201",4
"Koni","CIV01020106","CIV010201",4
"Lataha","CIV01020107","CIV010201",4
"Kaouara","CIV01030104","CIV010301",4
"Kagbolodougou","CIV01020203","CIV010202",4
"Sí©diogo","CIV01020202","CIV010202",4
"Papara","CIV01010101","CIV010101",4
"Djidji","CIV11020101","CIV110201",4
"Dahiri","CIV12030202","CIV120302",4
"Ní©bo","CIV11020203","CIV110202",4
"Zí©go","CIV11020202","CIV110202",4
"Chií©po","CIV11020207","CIV110202",4
"Krofoinsou","CIV04020101","CIV040201",4
"Bounda","CIV04020304","CIV040203",4
"Sokala-Sobara","CIV04010204","CIV040102",4
"Tendí©ní© Bambarasso","CIV04010203","CIV040102",4
"Yaossí©dougou","CIV04010206","CIV040102",4
"Arikokaha","CIV04010105","CIV040101",4
"Dibri-Assirikro","CIV04020402","CIV040204",4
"Bobi-Diarabana","CIV05030202","CIV050302",4
